cluster(number)	Frequency		CDF
5	1	1	0.005025126
8	1	2	0.010050251
9	1	3	0.015075377
10	1	4	0.020100503
11	1	5	0.025125628
13	1	6	0.030150754
14	2	8	0.040201005
15	2	10	0.050251256
16	2	12	0.060301508
17	2	14	0.070351759
18	3	17	0.085427136
19	1	18	0.090452261
20	1	19	0.095477387
21	3	22	0.110552764
22	4	26	0.130653266
23	2	28	0.140703518
24	4	32	0.16080402
25	4	36	0.180904523
26	2	38	0.190954774
27	1	39	0.195979899
28	4	43	0.216080402
29	4	47	0.236180905
30	4	51	0.256281407
31	3	54	0.271356784
32	6	60	0.301507538
33	2	62	0.311557789
34	3	65	0.326633166
35	10	75	0.376884422
36	4	79	0.396984925
37	2	81	0.407035176
38	4	85	0.427135678
39	2	87	0.43718593
40	2	89	0.447236181
41	6	95	0.477386935
42	3	98	0.492462312
43	5	103	0.51758794
44	2	105	0.527638191
45	5	110	0.552763819
46	3	113	0.567839196
47	3	116	0.582914573
48	3	119	0.59798995
49	4	123	0.618090452
50	3	126	0.633165829
51	3	129	0.648241206
52	3	132	0.663316583
54	6	138	0.693467337
55	2	140	0.703517588
56	1	141	0.708542714
57	5	146	0.733668342
58	2	148	0.743718593
59	4	152	0.763819095
60	3	155	0.778894472
61	2	157	0.788944724
62	3	160	0.804020101
64	2	162	0.814070352
66	1	163	0.819095477
67	3	166	0.834170854
68	3	169	0.849246231
69	2	171	0.859296482
70	2	173	0.869346734
71	3	176	0.884422111
72	4	180	0.904522613
73	1	181	0.909547739
74	2	183	0.91959799
75	2	185	0.929648241
76	1	186	0.934673367
77	1	187	0.939698492
78	1	188	0.944723618
80	1	189	0.949748744
81	2	191	0.959798995
85	1	192	0.964824121
86	1	193	0.969849246
89	1	194	0.974874372
98	1	195	0.979899497
105	1	196	0.984924623
114	2	198	0.994974874
135	1	199	1
Total	199		
